A-Star Search
---END PATH---
L[33,32,0]  -  [66,64,1]R
L[33,33,1]  -  [66,63,0]R
L[33,31,0]  -  [66,65,1]R
L[33,32,1]  -  [66,64,0]R
L[32,31,0]  -  [67,65,1]R
L[32,32,1]  -  [67,64,0]R
L[32,30,0]  -  [67,66,1]R
L[32,31,1]  -  [67,65,0]R
L[31,30,0]  -  [68,66,1]R
L[31,31,1]  -  [68,65,0]R
L[31,29,0]  -  [68,67,1]R
L[31,30,1]  -  [68,66,0]R
L[30,29,0]  -  [69,67,1]R
L[30,30,1]  -  [69,66,0]R
L[30,28,0]  -  [69,68,1]R
L[30,29,1]  -  [69,67,0]R
L[29,28,0]  -  [70,68,1]R
L[29,29,1]  -  [70,67,0]R
L[29,27,0]  -  [70,69,1]R
L[29,28,1]  -  [70,68,0]R
L[29,26,0]  -  [70,70,1]R
L[29,27,1]  -  [70,69,0]R
L[28,26,0]  -  [71,70,1]R
L[28,27,1]  -  [71,69,0]R
L[27,26,0]  -  [72,70,1]R
L[27,27,1]  -  [72,69,0]R
L[27,25,0]  -  [72,71,1]R
L[27,26,1]  -  [72,70,0]R
L[26,25,0]  -  [73,71,1]R
L[26,26,1]  -  [73,70,0]R
L[26,24,0]  -  [73,72,1]R
L[26,25,1]  -  [73,71,0]R
L[25,24,0]  -  [74,72,1]R
L[25,25,1]  -  [74,71,0]R
L[25,23,0]  -  [74,73,1]R
L[25,24,1]  -  [74,72,0]R
L[24,23,0]  -  [75,73,1]R
L[24,24,1]  -  [75,72,0]R
L[24,22,0]  -  [75,74,1]R
L[24,23,1]  -  [75,73,0]R
L[23,22,0]  -  [76,74,1]R
L[23,23,1]  -  [76,73,0]R
L[23,21,0]  -  [76,75,1]R
L[23,22,1]  -  [76,74,0]R
L[22,21,0]  -  [77,75,1]R
L[22,22,1]  -  [77,74,0]R
L[22,20,0]  -  [77,76,1]R
L[22,21,1]  -  [77,75,0]R
L[21,20,0]  -  [78,76,1]R
L[21,21,1]  -  [78,75,0]R
L[21,19,0]  -  [78,77,1]R
L[21,20,1]  -  [78,76,0]R
L[20,19,0]  -  [79,77,1]R
L[20,20,1]  -  [79,76,0]R
L[20,18,0]  -  [79,78,1]R
L[20,19,1]  -  [79,77,0]R
L[19,18,0]  -  [80,78,1]R
L[19,19,1]  -  [80,77,0]R
L[19,17,0]  -  [80,79,1]R
L[19,18,1]  -  [80,78,0]R
L[18,17,0]  -  [81,79,1]R
L[18,18,1]  -  [81,78,0]R
L[18,16,0]  -  [81,80,1]R
L[18,17,1]  -  [81,79,0]R
L[17,16,0]  -  [82,80,1]R
L[17,17,1]  -  [82,79,0]R
L[17,15,0]  -  [82,81,1]R
L[17,16,1]  -  [82,80,0]R
L[16,15,0]  -  [83,81,1]R
L[16,16,1]  -  [83,80,0]R
L[16,14,0]  -  [83,82,1]R
L[16,15,1]  -  [83,81,0]R
L[15,14,0]  -  [84,82,1]R
L[15,15,1]  -  [84,81,0]R
L[15,13,0]  -  [84,83,1]R
L[15,14,1]  -  [84,82,0]R
L[14,13,0]  -  [85,83,1]R
L[14,14,1]  -  [85,82,0]R
L[14,12,0]  -  [85,84,1]R
L[14,13,1]  -  [85,83,0]R
L[13,12,0]  -  [86,84,1]R
L[13,13,1]  -  [86,83,0]R
L[13,11,0]  -  [86,85,1]R
L[13,12,1]  -  [86,84,0]R
L[12,11,0]  -  [87,85,1]R
L[12,12,1]  -  [87,84,0]R
L[12,10,0]  -  [87,86,1]R
L[12,11,1]  -  [87,85,0]R
L[11,10,0]  -  [88,86,1]R
L[11,11,1]  -  [88,85,0]R
L[11,9,0]  -  [88,87,1]R
L[11,10,1]  -  [88,86,0]R
L[10,9,0]  -  [89,87,1]R
L[10,10,1]  -  [89,86,0]R
L[10,8,0]  -  [89,88,1]R
L[10,9,1]  -  [89,87,0]R
L[9,8,0]  -  [90,88,1]R
L[9,9,1]  -  [90,87,0]R
L[9,7,0]  -  [90,89,1]R
L[9,8,1]  -  [90,88,0]R
L[8,7,0]  -  [91,89,1]R
L[8,8,1]  -  [91,88,0]R
L[8,6,0]  -  [91,90,1]R
L[8,7,1]  -  [91,89,0]R
L[7,6,0]  -  [92,90,1]R
L[7,7,1]  -  [92,89,0]R
L[7,5,0]  -  [92,91,1]R
L[7,6,1]  -  [92,90,0]R
L[6,5,0]  -  [93,91,1]R
L[6,6,1]  -  [93,90,0]R
L[6,4,0]  -  [93,92,1]R
L[6,5,1]  -  [93,91,0]R
L[6,3,0]  -  [93,93,1]R
L[6,4,1]  -  [93,92,0]R
